Olympics(up to 2016),Medal events(in 2016),,,,Total

 Shooting,1896; 1900;1908–1924;since 1932,26,15,242,243,242,727, Carl Osburn (USA) (5–4–2), Carl Osburn (USA) (5–4–2) Willis Augustus Lee (USA) (5–1–1) Ole Lilloe-Olsen (NOR) (5–1–0) Alfred Lane (USA) (5–0–1) Morris Fisher (USA) (5–0–0)
 Softball,1996–2008; 2020; 2028,4,1,4,4,4,12, Lisa Fernandez (USA) (3–0–0), Lisa Fernandez (USA) (3–0–0)
" Swimming(men, women)",Since 1896,28,34,490,486,491,1467, Michael Phelps (USA) (23–3–2), Michael Phelps (USA) (23–3–2)
 Table tennis,Since 1988,8,4,24,24,28,76, Wang Nan (CHN) (4–1–0) Wang Hao (CHN) (2–3–0), Wang Nan (CHN) (4–1–0) Deng Yaping (CHN) (4–0–0) Zhang Yining (CHN) (4–0–0)
 Taekwondo,Since 2000,5,8,24,24,32,80, Hwang Kyung-seon (KOR) (2–0–1) Steven López (USA) (2–0–1) Hadi Saei (IRI) (2–0–1) María Espinoza (MEX) (1–1–1), Hwang Kyung-seon (KOR) (2–0–1) Steven López (USA) (2–0–1) Hadi Saei (IRI) (2–0–1) Chen Zhong (CHN) (2–0–0) Jade Jones (GBR) (2–0–0) Wu Jingyu (CHN) (2–0–0)
 Tennis,1896–1924;since 1988,15,5,56,56,71,183, Venus Williams (USA) (4–1–0) Kitty McKane (GBR) (1–2–2), Venus Williams (USA) (4–1–0) Serena Williams (USA) (4–0–0)
 Triathlon,Since 2000,5,2,6,6,6,18, Alistair Brownlee (GBR) (2–0–0) Nicola Spirig (SUI) (1–1–0) Simon Whitfield (CAN) (1–1–0) Jonathan Brownlee (GBR) (0–1–1) Bevan Docherty (NZL) (0–1–1), Alistair Brownlee (GBR) (2–0–0)
 Volleyball,Since 1964,14,4,32,32,32,96, Ana Fernández (CUB) (3–0–1) Kerri Walsh Jennings (USA) (3–0–1) Inna Ryskal (URS) (2–2–0) Sérgio Santos (BRA) (2–2–0) Sergey Tetyukhin (RUS) (1–1–2) Samuele Papi (ITA) (0–2–2), Ana Fernández (CUB) (3–0–1) Kerri Walsh Jennings (USA) (3–0–1) Regla Bell (CUB) (3–0–0) Marlenis Costa (CUB) (3–0–0) Idalmis Gato (CUB) (3–0–0) Lilia Izquierdo (CUB) (3–0–0) Karch Kiraly (USA) (3–0–0) Mireya Luis (CUB) (3–0–0) Misty May-Treanor (USA) (3–0–0) Regla Torres (CUB) (3–0–0)
" Water polo(men, women)",1900;since 1908,26,2,28,28,29,85, Dezső Gyarmati (HUN) (3–1–1), Dezső Gyarmati (HUN) (3–1–1) György Kárpáti (HUN) (3–0–1) Tibor Benedek (HUN) (3–0–0) Péter Biros (HUN) (3–0–0) Tamás Kásás (HUN) (3–0–0) Gergely Kiss (HUN) (3–0–0) Tamás Molnár (HUN) (3–0–0) Paulo Radmilovic (GBR) (3–0–0) Charles Smith (GBR) (3–0–0) Zoltán Szécsi (HUN) (3–0–0)
 Weightlifting,1896; 1904;since 1920,25,15,185,181,182,548," Pyrros Dimas (GRE) (3–0–1) Ronny Weller (GER) (1–2–1) Nikolaj Pešalov (BUL, CRO) (1–1–2) Norbert Schemansky (USA) (1–1–2)", Pyrros Dimas (GRE) (3–0–1) Kakhi Kakhiashvili (GRE) (3–0–0) Halil Mutlu (TUR) (3–0–0) Naim Süleymanoğlu (TUR) (3–0–0)
" Wrestling(freestyle, Greco-Roman)",1896;since 1904,27,18,373,375,392,1140, Wilfried Dietrich (FRG) (1–2–2), Kaori Icho (JPN) (4–0–0)
